Branch Name,Street Address,County,State,Zipcode
highland baxter branch,970 baxter avenue,Jefferson,KY,40204.0
highland deerwood branch,1718 bardstown road,Jefferson,KY,40205.0
st. matthews branch,4111 shelbyville road,Jefferson,KY,40207.0
chenoweth lane banking center branch,3820 brownsboro road,Jefferson,KY,40207.0
poplar level road branch,4038 poplar level road,Jefferson,KY,40213.0
auburndale branch,7403 old third street road,Jefferson,KY,40214.0
shively banking center branch,3901 seventh street road,Jefferson,KY,40216.0
bashford manor lane branch,3600 bardstown road,Jefferson,KY,40218.0
indian trail branch,5745 preston highway,Jefferson,KY,40219.0
indian trail drive-up branch,5745 preston highway,Jefferson,KY,40219.0
okolona branch,7923 preston highway,Jefferson,KY,40219.0
hikes point banking center branch,2943 richland avenue,Jefferson,KY,40220.0
lyndon branch,8120 new lagrange road,Jefferson,KY,40222.0
holiday manor branch,2209 holiday manor center,Jefferson,KY,40222.0
hurstbourne branch,9600 linn station road,Jefferson,KY,40222.0
preston banking center branch,11710 antonia way,Jefferson,KY,40229.0
westport plaza branch,9491 westport road,Jefferson,KY,40241.0
the summit branch,3920 summit plaza drive,Jefferson,KY,40241.0
middletown branch,12016 shelbyville road,Jefferson,KY,40243.0
pleasure ridge branch,7335 dixie highway,Jefferson,KY,40258.0
piccadilly branch,5340 bardstown road,Jefferson,KY,40291.0
glenmary banking center branch,8141 bardstown road,Jefferson,KY,40291.0
jeffersontown branch,10419 watterson trail,Jefferson,KY,40299.0
jessamine county branch,100 rebel road,Jessamine,KY,40356.0
danville downtown branch,237 west main street,Boyle,KY,40422.0
richmond downtown branch,116 west main street,Madison,KY,40475.0
eastern by pass branch,405 leighway drive,Madison,KY,40475.0
chevy chase branch,727 euclid avenue,Fayette,KY,40502.0
lansdowne branch,3368 tates creek road,Fayette,KY,40502.0
the romany road branch,361 romany road,Fayette,KY,40502.0
zandale branch,2260 nicholasville road,Fayette,KY,40503.0
picadome branch,1617 clays mill road,Fayette,KY,40503.0
nichols park branch,4097 nichols park drive,Fayette,KY,40503.0
gardenside branch,1785 alexandria drive,Fayette,KY,40504.0
eastland winchester branch,"1301 winchester road, ste 265",Fayette,KY,40505.0
northland branch,1205 north broadway,Fayette,KY,40505.0
lexington main branch,201 east main street,Fayette,KY,40507.0
richmond road branch,2590 richmond road,Fayette,KY,40509.0
hamburg place branch,1824 alysheba way,Fayette,KY,40509.0
leestown road branch,1500 west main street,Fayette,KY,40511.0
melbourne park branch,1121 nandino boulevard,Fayette,KY,40511.0
palomar branch,3645 harrodsburg road,Fayette,KY,40513.0
tates creek centre branch,4192 tates creek centre rd,Fayette,KY,40517.0
burlington wildcat branch,1750 wildcat blvd,Boone,KY,41005.0
crescent springs branch,735 buttermilk pike,Kenton,KY,41017.0
us 42 branch,8480 u.s. 42,Boone,KY,41042.0
turfway branch,4899 houston road,Boone,KY,41042.0
belleveue branch,90 riviera drive,Campbell,KY,41073.0
grand avenue branch,11 south grand avenue,Campbell,KY,41075.0
bowling green branch,924 broadway avenue,Warren,KY,42101.0
frederica street branch,2938 frederica street,Daviess,KY,42301.0
carter road branch,1350 carter road,Daviess,KY,42301.0
owensboro main branch,200 east third street,Daviess,KY,42303.0
villa point branch,3160 highway 54 east,Daviess,KY,42303.0
elizabethtown main branch,1200 north dixie highway,Hardin,KY,42701.0
mulberry elizabethtown branch,1009 north mulberry,Hardin,KY,42701.0
delaware branch,61 north sandusky street,Delaware,OH,43015.0
delaware/kroger branch,1840 columbus pike,Delaware,OH,43015.0
dublin village retirement center br,6470 post road,Franklin,OH,43016.0
dublin kroger branch,7100 hospital dr,Franklin,OH,43016.0
sawmill and emerald parkway branch,7675 sawmill rd,Franklin,OH,43016.0
dublin branch,6275 frantz road,Franklin,OH,43017.0
sawmill branch,3800 tuller road,Franklin,OH,43017.0
avery road branch,6271 perimeter drive,Franklin,OH,43017.0
granville branch,136 east broadway,Licking,OH,43023.0
hilliard branch,4056 east main street,Franklin,OH,43026.0
hilliard darby banking center branch,6364 scioto darby road,Franklin,OH,43026.0
hilliard rome & trabue banking center branch,1600 hilliard rome road,Franklin,OH,43026.0
johnstown kroger banking ctr branch,800 west coshocton street,Licking,OH,43031.0
lewis center branch,8681 columbus pike,Delaware,OH,43035.0
lewis center kroger bnkg ctr branch,6417 columbus pike,Delaware,OH,43035.0
marysville branch,406 west fifth street,Union,OH,43040.0
new albany banking center branch,5455 west new albany road,Franklin,OH,43054.0
newark main branch,15 north third street,Licking,OH,43055.0
north newark branch,1212 north 21st street,Licking,OH,43055.0
heath branch,895 hebron road,Licking,OH,43056.0
pataskala branch,84 west broad street,Licking,OH,43062.0
powell road branch,4066 west powell road,Delaware,OH,43065.0
powell north branch,7451 sawmill pkwy,Delaware,OH,43065.0
powell kroger branch,3975 w powell rd,Delaware,OH,43065.0
reynoldsburg branch,7112 east main street,Franklin,OH,43068.0
brice road branch,2025 brice road,Franklin,OH,43068.0
main & taylor banking center branch,8445 east main street,Licking,OH,43068.0
broad and waggoner branch,8139 e broad st,Franklin,OH,43068.0
sunbury branch,45 e granville street,Delaware,OH,43074.0
sunbury kroger branch,131 st rte 3,Delaware,OH,43074.0
westerville south branch,77 huber village boulevard,Franklin,OH,43081.0
maxtown branch,875 n state st.,Delaware,OH,43082.0
worthington square branch,50 west wilson bridge road,Franklin,OH,43085.0
canal winchester branch,8 south high street,Franklin,OH,43110.0
waterloo crossing banking ctr. branch,6314 gender road,Franklin,OH,43110.0
circleville branch,100 east main street,Pickaway,OH,43113.0
galloway banking center branch,5684 west broad street,Franklin,OH,43119.0
grove city branch,2161 stringtown road,Franklin,OH,43123.0
grove city east branch,4100 buckeye pkwy,Franklin,OH,43123.0
lancaster-downtown branch,123 south broad street,Fairfield,OH,43130.0
lancaster-main branch,1730 east main street,Fairfield,OH,43130.0
mt. sterling branch,47 north london street,Madison,OH,43143.0
pickerington branch,1785 hill road north,Fairfield,OH,43147.0
pickerington north banking ctr. branch,"7915 refugee road, n.w.",Fairfield,OH,43147.0
university high street branch,1698 north high street,Franklin,OH,43201.0
long street branch,1245 east long street,Franklin,OH,43203.0
west broad branch,3100 west broad street,Franklin,OH,43204.0
german village branch,833 south high street,Franklin,OH,43206.0
lockbourne road branch,1650 lockbourne road,Franklin,OH,43207.0
great southern banking center branch,3471 south high street,Franklin,OH,43207.0
east broad branch,3200 east broad street,Franklin,OH,43209.0
bexley banking center branch,2660 east main street,Franklin,OH,43209.0
grandview branch,1500 west fifth avenue,Franklin,OH,43212.0
whitehall columbus branch,4660 east main street,Franklin,OH,43213.0
wesley glen branch,5155 north high street,Franklin,OH,43214.0
graceland banking center branch,186 graceland boulevard,Franklin,OH,43214.0
the forum branch,4590 knightsbridge boulevard,Franklin,OH,43214.0
clintonville banking center branch,3655 north high street,Franklin,OH,43214.0
westminister thurber ret ctr branch,645 neil avenue,Franklin,OH,43215.0
short north branch,677 north high street,Franklin,OH,43215.0
broad st downtown branch,100 east broad street,Franklin,OH,43215.0
easton employee center banking center branch,3415 vision drive,Franklin,OH,43219.0
easton town center bnkg ctr branch,4000 morse crossing,Franklin,OH,43219.0
henderson road branch,2031 west henderson road,Franklin,OH,43220.0
kingsdale branch,3250 tremont road,Franklin,OH,43221.0
upper arlington branch,1431 w lane ave,Franklin,OH,43221.0
clime road branch,3500 clime road,Franklin,OH,43223.0
northern lights branch,3233 cleveland avenue,Franklin,OH,43224.0
morse road branch,1551 morse road,Franklin,OH,43229.0
forest park branch,1325 east dublin-granville road,Franklin,OH,43229.0
oakleaf village branch,5500 karl road,Franklin,OH,43229.0
gahanna branch,130 north hamilton road,Franklin,OH,43230.0
gahanna north branch,5055 north hamilton road,Franklin,OH,43230.0
columbus square branch,5681 cleveland avenue,Franklin,OH,43231.0
eastland hamilton branch,2475 south hamilton road,Franklin,OH,43232.0
bethel sawmill banking ctr. branch,4810 sawmill road,Franklin,OH,43235.0
claremont retirement village branch,7041 bent tree boulevard,Franklin,OH,43235.0
citi bank main office,1111 polaris parkway,Delaware,OH,43240.0
polaris branch,1121 polaris pkwy,Delaware,OH,43240.0
downtown marion branch,165 west center street,Marion,OH,43302.0
professional park branch,1212 delaware avenue,Marion,OH,43302.0
university forum branch,1553 marion-mt. gilead road,Marion,OH,43302.0
mount gilead branch,16 north main street,Morrow,OH,43338.0
upper sandusky branch,335 north sandusky avenue,Wyandot,OH,43351.0
zanesville downtown branch,434 main street,Muskingum,OH,43701.0
zanesville brandywine branch,1200 brandywine boulevard,Muskingum,OH,43701.0
coshocton main branch,120 south fourth street,Coshocton,OH,43812.0
dresden branch,812 main street,Muskingum,OH,43821.0
newcomerstown branch,150 west main street,Tuscarawas,OH,43832.0
west lafayette branch,102 south oak street,Coshocton,OH,43845.0
bellaire drive up branch,3191 guernsey street,Belmont,OH,43906.0
bellaire branch,3201 belmont street,Belmont,OH,43906.0
calcutta branch,15688 state route 170,Columbiana,OH,43920.0
shadyside branch,4001 central avenue,Belmont,OH,43947.0
north fourth street drive-in branch,238-240 north fourth street,Jefferson,OH,43952.0
steubenville branch,401 market street,Jefferson,OH,43952.0
wintersville branch,147 main street,Jefferson,OH,43953.0
berea branch,421 west bagley road,Cuyahoga,OH,44017.0
tanglewood branch,8501 tanglewood square,Geauga,OH,44023.0
chardon square branch,100 center street,Geauga,OH,44024.0
chesterland branch,12644 west geauga plaza,Geauga,OH,44026.0
broadway lorain branch,1949 broadway,Lorain,OH,44052.0
amherst branch,5971 leavitt road,Lorain,OH,44053.0
shoreway branch,4100 east lake road,Lorain,OH,44054.0
southview branch,2232 fairless drive,Lorain,OH,44055.0
madison ridge branch,6572 north ridge road,Lake,OH,44057.0
mentor shore branch,6081 andrews road,Lake,OH,44060.0
great lakes mall branch,7979 mentor avenue,Lake,OH,44060.0
town square branch,8870 mentor avenue,Lake,OH,44060.0
great northern branch,4763 great northern boulevard,Cuyahoga,OH,44070.0
painesville west branch,1655 mentor avenue,Lake,OH,44077.0
painesville square branch,30 south park place,Lake,OH,44077.0
perry branch,2772 north ridge road,Lake,OH,44081.0
twinsburg branch,9023 darrow road,Summit,OH,44087.0
wickliffe branch,29166 euclid avenue,Lake,OH,44092.0
willoughby hills branch,27301 chardon road,Lake,OH,44092.0
willo plaza branch,4850 robinhood dr,Lake,OH,44094.0
shoregate branch,295 shoregate mall,Lake,OH,44095.0
eastlake-vine branch,"35400 vine street, suite a",Lake,OH,44095.0
cedar-fairmount branch,12388 cedar road,Cuyahoga,OH,44106.0
karamu branch,2355 east 89th street,Cuyahoga,OH,44106.0
kamms plaza branch,17426 lorain road,Cuyahoga,OH,44111.0
chase center branch,1300 east ninth street,Cuyahoga,OH,44114.0
rocky river banking center branch,21810 center ridge road,Cuyahoga,OH,44116.0
beachwood branch,22801 chagrin boulevard,Cuyahoga,OH,44122.0
euclid lakeshore branch,22818 lake shore boulevard,Cuyahoga,OH,44123.0
mayfield-lyndhurst branch,5400 mayfield road,Cuyahoga,OH,44124.0
pepper pike branch,30950 pinetree road,Cuyahoga,OH,44124.0
ridgewood and westminster,8479 west ridgewood drive,Cuyahoga,OH,44129.0
independence branch,6200 brecksville road,Cuyahoga,OH,44131.0
seven hills branch,7703 broadview road,Cuyahoga,OH,44131.0
strongsville branch,14357 pearl road,Cuyahoga,OH,44136.0
westlake detroit branch,29656 detroit road,Cuyahoga,OH,44145.0
southgate northfield branch,5435 northfield road,Cuyahoga,OH,44146.0
aurora branch,250 west garfield road,Portage,OH,44202.0
barberton branch,444 e robinson avenue,Summit,OH,44203.0
norton branch,4169 south cleveland-massillon road,Summit,OH,44203.0
brunswick branch,3191 center road se,Medina,OH,44212.0
bailey road branch,2647 bailey road,Summit,OH,44221.0
stow branch,4499 kent road,Summit,OH,44224.0
hudson branch,136 west streetsboro road,Summit,OH,44236.0
kent branch,1550 south water street,Portage,OH,44240.0
streetsboro banking center branch,9163 state route 43,Portage,OH,44241.0
mantua branch,10691 main street-p.o. box 776,Portage,OH,44255.0
medina branch,285 east reagan parkway,Medina,OH,44256.0
medina buehlers branch,3626 medina road,Medina,OH,44256.0
randolph branch,4000 waterloo road-p.o. box 186,Portage,OH,44265.0
ravenna branch,235 west main street,Portage,OH,44266.0
wadsworth branch,750 high street,Medina,OH,44281.0
university park branch,632 east market street,Summit,OH,44304.0
akron square branch,1615 south arlington street,Summit,OH,44306.0
akron centre branch,50 south main street,Summit,OH,44308.0
chapel hill branch,1805 brittain road,Summit,OH,44310.0
springfield branch,1249 canton road,Summit,OH,44312.0
acme no. 1 branch,1835 west market street,Summit,OH,44313.0
manchester branch,5638 manchester road,Summit,OH,44319.0
richfield-bath branch,2435 north cleveland-massillon road,Summit,OH,44333.0
summit mall branch,3265 w market st ste 80,Summit,OH,44333.0
canfield branch,34 north broad street,Mahoning,OH,44406.0
columbiana branch,35 north main street,Columbiana,OH,44408.0
girard branch,43 west liberty street,Trumbull,OH,44420.0
newton falls branch,20 south canal street,Trumbull,OH,44444.0
eastwood mall branch,5555 Youngstown Warren Road,Trumbull,OH,44446.0
salem branch,123 North Broadway,Columbiana,OH,44460.0
champion branch,"4538 Mahoning Avenue, N.W.",Trumbull,OH,44483.0
howland branch,204 Niles-Cortland Road Ne,Trumbull,OH,44484.0
elm road branch,3394 Elm Road Ne,Trumbull,OH,44484.0
west market warren branch,1160 West Market Street,Trumbull,OH,44485.0
youngstown main branch,"6 Federal Plaza West, 1st Floor",Mahoning,OH,44503.0
liberty branch,3999 Belmont Avenue,Trumbull,OH,44505.0
market street branch,2900 Market Street,Mahoning,OH,44507.0
boardman branch,380 Boardman-Canfield Road,Mahoning,OH,44512.0
poland branch,30 North Main Street,Mahoning,OH,44514.0
wickliffe-youngstown branch,4243 Mahoning Avenue,Mahoning,OH,44515.0
austintown branch,5531 Mahoning Avenue,Mahoning,OH,44515.0
college plaza branch,1100 East State Street,Stark,OH,44601.0
alliance center branch,1207 West State Street,Stark,OH,44601.0
dover main branch,301 West Third Street,Tuscarawas,OH,44622.0
parkside branch,3000 North Wooster Avenue,Tuscarawas,OH,44622.0
hartville branch,901 West Maple Street,Stark,OH,44632.0
louisville ohio branch,123 West Main Street,Stark,OH,44641.0
new massillon branch,11 Lincoln Way West,Stark,OH,44647.0
minerva branch,123 N. Main St.,Stark,OH,44657.0
new philadelphia branch,141 East High Avenue,Tuscarawas,OH,44663.0
uhrichsville branch,127 East Third Street,Tuscarawas,OH,44683.0
uniontown branch,13100 Cleveland Avenue North,Stark,OH,44685.0
walnut street branch,141 North Walnut Street,Wayne,OH,44691.0
college hills branch,601 Portage Road,Wayne,OH,44691.0
canton central plaza branch,"101 Central Plaza, South",Stark,OH,44702.0
canton centre branch,4040 Tuscarawas Street West,Stark,OH,44708.0
canton 30th street branch,"1401 30th Street, N.W.",Stark,OH,44709.0
belden dressler branch,4600 Dressler Road,Stark,OH,44718.0
north canton branch,219 North Main Street,Stark,OH,44720.0
easton branch,"6336 Middlebranch Avenue, N.E.",Stark,OH,44721.0
claremont branch,1353 Claremont Avenue,Ashland,OH,44805.0
ashland road branch,800 Ashland Road,Richland,OH,44905.0
brookwood branch,1331 Park Avenue West,Richland,OH,44906.0
lexwood branch,1094 Lexington Avenue,Richland,OH,44907.0
fairfield branch,5200 Pleasant Avenue,Butler,OH,45014.0
mason montgomery branch,8605 South Mason Montgomery Road,Warren,OH,45040.0
nelbar branch,2400 N Verity Pkwy,Butler,OH,45042.0
breiel branch,1401 South Breiel Boulevard,Butler,OH,45044.0
monroe branch,One East Ave,Butler,OH,45050.0
oxford high street branch,20 West High Street,Butler,OH,45056.0
springboro branch,15 Springwood Drive,Warren,OH,45066.0
west chester banking center branch,7722 Cox Lane,Butler,OH,45069.0
cincinnati dayton south & i-75 banking center,8115 Highland Pointe Drive,Butler,OH,45069.0
princeton glendale bnkg ctr branch,8100 Marketplace Drive,Butler,OH,45069.0
amelia branch,2 West Main Street,Clermont,OH,45102.0
bethel branch,601 West Plane Street,Clermont,OH,45106.0
loveland madeira branch,513 Loveland-Madeira Road,Hamilton,OH,45140.0
deerfield symmes banking ctr branch,3965 W US Hwy 22 and 3,Hamilton,OH,45140.0
milford shopping center branch,967 Lila Avenue,Clermont,OH,45150.0
mulberry milford branch,1086 State Route 28,Clermont,OH,45150.0
williamsburg branch,331 W. Main Street,Clermont,OH,45176.0
cincinnati downtown branch,45 East 4th Street,Hamilton,OH,45202.0
u square at university of cincinnati branch,219 Calhoun Street,Hamilton,OH,45219.0
mt. lookout branch,822 Delta Avenue,Hamilton,OH,45226.0
reading road branch,4375 Reading Road,Hamilton,OH,45229.0
north college hill branch,1535 1/2 West Galbraith Road,Hamilton,OH,45231.0
kenwood branch,7269 Kenwood Road,Hamilton,OH,45236.0
blue ash branch,9019 Plainfield Rd,Hamilton,OH,45236.0
forest park cincinnati branch,633 Northland Boulevard,Hamilton,OH,45240.0
evendale branch,2521 Cunningham Drive,Hamilton,OH,45241.0
montgomery branch,8201 Weller Road,Hamilton,OH,45242.0
eastgate wyler park branch,867 Wyler Park Drive,Clermont,OH,45245.0
tri-county branch,11745 Princeton Pike,Hamilton,OH,45246.0
cherry grove branch,8632 Beechmont Avenue,Hamilton,OH,45255.0
eaton branch,1311 North Barron Street,Preble,OH,45320.0
englewood taywood branch,604 Taywood Road,Montgomery,OH,45322.0
fairborn branch,260 East Dayton-Yellow Springs Road,Greene,OH,45324.0
greenville branch,541 Wagner Avenue,Darke,OH,45331.0
miamisburg branch,210 South Heincke Road,Montgomery,OH,45342.0
phillipsburg branch,2 North State Street,Montgomery,OH,45354.0
piqua branch,401 Spring Street,Miami,OH,45356.0
sidney main branch,134 E Poplar Streets,Shelby,OH,45365.0
north sidney branch,1019 Wapakoneta Ave.,Shelby,OH,45365.0
west-sidney branch,2030 Michigan Street,Shelby,OH,45365.0
tipp city branch,1281 W. Main St,Miami,OH,45371.0
troy branch,1011 West Main Street,Miami,OH,45373.0
vandalia branch,806 West National Road,Montgomery,OH,45377.0
xenia branch,306 West Second Street,Greene,OH,45385.0
dayton downtown drive-up branch,242 N Ludlow Streets,Montgomery,OH,45402.0
wright-dunbar branch,1158 West Third Street,Montgomery,OH,45402.0
east dayton branch,2000 East Third Street,Montgomery,OH,45403.0
north side dayton branch,1351 N Keowee Street,Montgomery,OH,45404.0
dayton north main branch,3703 North Main Street,Montgomery,OH,45405.0
dixie & needmore branch,5730 North Dixie Drive,Montgomery,OH,45414.0
far hills avenue branch,2800 Far Hills Avenue,Montgomery,OH,45419.0
breitenstrater square branch,1078 Patterson Road,Montgomery,OH,45420.0
kettering branch,3075 Woodman Drive,Montgomery,OH,45420.0
dayton main branch,"40 North Main St, Kettering Tower",Montgomery,OH,45423.0
huber heights branch,6130 Chambersburg Road,Montgomery,OH,45424.0
salem trotwood branch,5511 Salem Avenue,Montgomery,OH,45426.0
beavercreek branch,3414 Seajay Drive,Greene,OH,45430.0
airway woodman branch,175 Woodman Drive,Montgomery,OH,45431.0
fairfield commons branch,2687 Fairfield Commons,Greene,OH,45431.0
wright field branch,"2275 D Street, Suite 12, Bldg 16, Area B",Greene,OH,45433.0
wright patterson afb branch,"2130 Sycamore Street, Bldg. 1250",Greene,OH,45433.0
west carrollton branch,9 East Central Avenue,Montgomery,OH,45449.0
south centerville branch,869 South Main Street,Montgomery,OH,45458.0
washington centerville branch,6000 Far Hills Avenue,Montgomery,OH,45459.0
washington park branch,7990 Washington Village Drive,Montgomery,OH,45459.0
sugarcreek banking center branch,6460 Wilmington Pike,Greene,OH,45459.0
athens main branch,2 S Court Street,Athens,OH,45701.0
richland avenue branch,420-424 Richland Avenue,Athens,OH,45701.0
plaza branch,920 East State Street,Athens,OH,45701.0
belpre branch,321 Main Street,Washington,OH,45714.0
marietta branch,125 Putnam Street,Washington,OH,45750.0
colegate branch,404 Muskingum Drive,Washington,OH,45750.0
pike and acme branch,10 Acme Street,Washington,OH,45750.0
lima main branch,121 West High Street,Allen,OH,45801.0
north west street branch,1045 North West Street,Allen,OH,45801.0
harding highway branch,1799 Harding Highway,Allen,OH,45804.0
shawnee branch,2665 Fort Amanda Road,Allen,OH,45804.0
cable road branch,750 North Cable Road,Allen,OH,45805.0
otterbein branch,100 Red Oak Drive,Auglaize,OH,45806.0
bluffton branch,135 South Main Street,Allen,OH,45817.0
celina branch,205 West Market Street,Mercer,OH,45822.0
findlay east branch,1917 Tiffin Avenue,Hancock,OH,45840.0
findlay north branch,1971 Broad Avenue,Hancock,OH,45840.0
findlay west branch,300 West Main Cross,Hancock,OH,45840.0
findlay main branch,500 South Main Street,Hancock,OH,45840.0
st. marys spring street branch,125 West Spring Street,Auglaize,OH,45885.0
grandview-wapakoneta branch,801 Defiance Street,Auglaize,OH,45895.0
carmel branch,200 East Carmel Drive,Hamilton,IN,46032.0
meridian and 146th branch,14801 Thatcher Ln,Hamilton,IN,46032.0
michigan road and 106th branch,10495 North Michigan Road,Hamilton,IN,46032.0
hamilton crossing banking ctr. branch,12489 North Meridian Street,Hamilton,IN,46032.0
towne & 131st banking center branch,13085 Pettigru Drive,Hamilton,IN,46032.0
lantern road and 96th branch,9601 Lantern Road,Hamilton,IN,46037.0
olio & 116th banking center branch,11610 Olio Road,Hamilton,IN,46037.0
fishers banking center branch,11433 Allisonville Road,Hamilton,IN,46038.0
cumberland and 116th branch,9820 E 116th Street,Hamilton,IN,46038.0
noblesville banking center branch,198 Logan Street,Hamilton,IN,46060.0
sr 37 and 141st branch,14195 Mundy Drive,Hamilton,IN,46060.0
hamilton town center branch,13165 Tegler Dr,,IN,46060.0
hazel dell and 146th branch,14775 Sunny Dell Lane,,IN,46062.0
westfield banking center branch,3603 Sthy 32,,IN,46074.0
spring mill and 161st branch,250 West 161st Street,,IN,46074.0
zionsville branch,1414 West Oak Street,Boone,IN,46077.0
beech grove banking center branch,3605 South Emerson Avenue,Marion,IN,46107.0
brownsburg branch,1000 East Main Street,Hendricks,IN,46112.0
northfield and hwy 267 branch,1073 N Green St,Hendricks,IN,46112.0
avon branch,29 S Sr 267,Hendricks,IN,46123.0
east avon banking center branch,9246 East U.S. Highway 36,Hendricks,IN,46123.0
franklin morton branch,1600 N Morton St,Johnson,IN,46131.0
greenfield banking center branch,2057 North State Street,Hancock,IN,46140.0
white river branch,565 S State Road 135,Johnson,IN,46142.0
valle vista banking center branch,1225 South Park Drive,Johnson,IN,46143.0
emerson pointe banking ctr. branch,1280 North Emerson Avenue,Johnson,IN,46143.0
mooresville banking center branch,135 Fields Road,Morgan,IN,46158.0
stafford pointe branch,807 Southfield Drive,Hendricks,IN,46168.0
shelbyville main branch,49 Public Square,Shelby,IN,46176.0
noble jackson branch,25 South Noble Street,Shelby,IN,46176.0
east side branch,4710 East 10th Street,Marion,IN,46201.0
east new york street branch,3000 East New York Street,Marion,IN,46201.0
pierson and w 16th street branch,20 West 16th Street,Marion,IN,46202.0
southeastern avenue branch,3000 Southeastern Avenue,Marion,IN,46203.0
shelby street branch,2359 Shelby Street,Marion,IN,46203.0
circle branch,111 Monument Circle,Marion,IN,46204.0
state office building branch,"302 West Washington Street, Room 033",Marion,IN,46204.0
tower banking center branch,"1 East Ohio Street, Suite 101",Marion,IN,46204.0
indiana branch,"1 East Ohio Street, 17th Floor",Marion,IN,46204.0
meadows drive branch,3950 Meadows Drive,Marion,IN,46205.0
north meridian street branch,2829 North Meridian Street,Marion,IN,46208.0
illinois & westfield branch,5635 North Illinois Street,Marion,IN,46208.0
rockville road banking center branch,7336 Rockville Road,Marion,IN,46214.0
south meridian drive-up branch,8005 South Meridian Street,Marion,IN,46217.0
south meridian branch,8120 South Meridian Street,Marion,IN,46217.0
southport and bluff branch,1420 W Southport Rd,Marion,IN,46217.0
arlington avenue branch,1215 North Arlington Avenue,Marion,IN,46219.0
post and 21 street branch,8910 East 21st Street,Marion,IN,46219.0
eastgate branch,601 North Shadeland Avenue,Marion,IN,46219.0
broad ripple branch,706 Broad Ripple Avenue,Marion,IN,46220.0
keystone avenue branch,5236 North Keystone Avenue,Marion,IN,46220.0
allisonville road and 62nd branch,6210 Allisonville Road,Marion,IN,46220.0
graham and 71st branch,5745 East 71st Street,Marion,IN,46220.0
marwood banking center branch,3451 Kentucky Avenue,Marion,IN,46221.0
west michigan street branch,2600 West Michigan Street,Marion,IN,46222.0
lafayette road banking center branch,3501 Lafayette Road,Marion,IN,46222.0
speedway & lynnhurst branch,5253 West Sixteenth Street,Marion,IN,46224.0
speedway banking branch,2302 Cunningham Road,Marion,IN,46224.0
lawrence franklin branch,4202 North Franklin Road,Marion,IN,46226.0
shadeland avenue branch,3030 North Shadeland Avenue,Marion,IN,46226.0
southport branch,7001 South Madison Avenue,Marion,IN,46227.0
southern branch,3721 South East Street,Marion,IN,46227.0
county line south branch,8910 U.S. 31 South,Marion,IN,46227.0
keystone & carson branch,4071 South Keystone Avenue,Marion,IN,46227.0
washington-mitthoefer rd. branch,9991 East Washington Street,Marion,IN,46229.0
the geist banking center branch,11735 Fox Road,Marion,IN,46236.0
southport emerson branch,7120 Emblem Drive,Marion,IN,46237.0
wanamaker branch,8858 Southeastern Avenue,Marion,IN,46239.0
nora branch,702 East 86th Street,Marion,IN,46240.0
keystone and 96th branch,9505 Haver Way,Marion,IN,46240.0
keystone at the crossing branch,8630 Keystone Crossing Drive,Marion,IN,46240.0
west washington street branch,5100 West Washington Street,Marion,IN,46241.0
shadeland and 75th branch,7491 North Shadeland Avenue,Marion,IN,46250.0
castleton banking center branch,5701 Castle Creek Parkway North Drive,Marion,IN,46250.0
eagle highlands banking ctr. branch,6910 West 38th Street,Marion,IN,46254.0
georgetown and 56th branch,4860 West 56th Street,Marion,IN,46254.0
greenbriar banking center branch,1313 West 86th Street,Marion,IN,46260.0
augusta branch,6881 North Michigan Road,Marion,IN,46268.0
college park branch,8751 North Michigan Road,Marion,IN,46268.0
cedar lake branch,9717 W 133rd Ave,Lake,IN,46303.0
chesterton branch,150 W Indiana Ave,Porter,IN,46304.0
crown point branch,"115 South Court Street, Suite B",Lake,IN,46307.0
crown point drive-up branch,700 North Main Street,Lake,IN,46307.0
dyer branch,799 Joliet Street,Lake,IN,46311.0
ridge griffith branch,1203 East Ridge Road,Lake,IN,46319.0
harrison park branch,5930 Hohman Avenue,Lake,IN,46320.0
northside branch,4204 Calumet Avenue,Lake,IN,46320.0
white oak branch,1600 West 45th Street,Lake,IN,46321.0
ridge munster branch,545 Ridge Road,Lake,IN,46321.0
highland drive-up branch,9600 Cline Ave,Lake,IN,46322.0
hessville branch,2734 - 169th Street,Lake,IN,46323.0
hobart branch,66 Main Street,Lake,IN,46342.0
kouts branch,309 South Main Street,Porter,IN,46347.0
lowell branch,651 East Commercial Avenue,Lake,IN,46356.0
lake park branch,4365 South Franklin Street,La Porte,IN,46360.0
portage central branch,6200 Central Avenue,Porter,IN,46368.0
willowcreek branch,3275 Willowcreek Road,Porter,IN,46368.0
st. john branch,9600 Wicker Ave,Lake,IN,46373.0
schererville branch,1801 Kennedy Avenue,Lake,IN,46375.0
lincolnway branch,101 Lincolnway,Porter,IN,46383.0
calumet branch,2301 North Calumet Avenue,Porter,IN,46383.0
strongbow centre branch,2200 East Morthland Drive,Porter,IN,46383.0
heritage valley branch,852 Thornapple Drive,Porter,IN,46385.0
whiting branch,1449 119th Street,Lake,IN,46394.0
gary main branch,505 Adams St,Lake,IN,46402.0
miller branch,647 South Lake Street,Lake,IN,46403.0
tolleston branch,2203 West 11th Avenue,Lake,IN,46404.0
lake station branch,3115 Central Avenue,Lake,IN,46405.0
glen park branch,3680 Broadway,Lake,IN,46408.0
merrillville branch,6790 Broadway,Lake,IN,46410.0
broadway center branch,8585 Broadway,Lake,IN,46410.0
independence hill branch,7925 Taft Street,Lake,IN,46410.0
southlake mall banking center branch,1837 East 80th Avenue,Lake,IN,46410.0
